기업명,가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석,k
(주)컴트루테크놀로지,O,X,X,X,X,O,X,O,3
주식회사 리파운드(53035)000302720220726181592360,O,O,O,X,O,O,X,O,6
인포텍코퍼레이션(주),O,X,X,X,X,X,X,X,1
주식회사 루트랩(ROOT LAB),O,O,O,O,O,O,O,O,8
퍼스널에이아이(주),O,O,O,O,O,O,O,O,8
(주)에프에이솔루션,O,O,O,O,O,O,O,O,8
망고클라우드 주식회사,O,O,X,X,X,O,X,X,3
주식회사 타날리시스,X,X,X,X,X,X,X,X,0
(주)레브웨어,O,O,X,X,O,O,X,O,5
데이터텍 주식회사,O,O,X,O,O,O,O,O,7
주식회사 핀인사이트,O,O,X,O,O,O,O,O,7
주식회사 리스트,O,O,O,O,X,O,O,O,7
주식회사 지신,O,O,X,O,O,X,O,O,6
주식회사성민소프트,O,O,X,O,O,X,X,X,4
코드크레인유한회사,O,O,X,X,O,O,O,O,6
(주)세이퍼존,X,X,X,X,X,X,X,X,0
스론주식회사,O,O,X,O,O,X,O,O,6
서광항업(주)_0000313947,O,O,O,X,O,O,O,O,7
엔터씨스 주식회사(ENTERSEE)008102120160602181000302,O,O,O,X,O,O,O,O,7
주식회사 재이인피니티웍스_0002139632,O,O,X,O,O,O,O,O,7
뉴런아키텍쳐,O,O,O,O,O,O,O,O,8
주식회사 틱택코리아,O,O,O,O,O,O,O,O,8
주식회사 댄스트럭트,O,O,X,X,X,X,O,X,3
(주)디밀리언,O,X,X,X,O,O,O,O,5
스페이스먼트,O,O,O,O,O,O,O,O,8
(주)리빌더에이아이(rebuilderai)0004029E021603175,O,X,X,X,X,X,X,X,1
(주)비저너리,O,X,X,X,O,X,O,O,4
주식회사 오든,O,O,O,O,O,O,X,O,7
(주)휴먼아이티,O,O,X,O,O,X,O,X,5
주식회사 메트릭스튜디오,O,O,O,O,O,O,X,O,7
주식회사 승인자(BizBank)008868820220111188004142,O,X,X,X,X,X,X,X,1
주식회사 템플러아카이브,O,O,O,O,O,O,O,O,8
콤비로 주식회사,O,O,O,O,O,O,O,O,8
(주)알투비(RtoB)008105020161118381000545,O,O,O,O,O,O,O,O,8
(주)나이스디앤비,O,O,X,X,X,O,O,O,5
(주)선도소프트,O,O,O,O,O,O,O,O,8
주식회사 스토리숲,O,X,X,X,X,X,X,X,1
(주)에스피파트너스,O,O,O,O,O,O,X,O,7
(주)마이스소프트,O,O,O,O,O,X,X,O,6
주식회사 붐잉,O,X,X,X,X,O,O,O,4
(주)코아아이티,O,O,O,O,X,O,O,X,6
(주)트위그팜,O,O,O,O,X,O,O,O,7
주식회사 두나미스에이아이,O,O,O,O,O,O,O,O,8
(주)플립비(flipb),O,X,X,X,O,X,X,O,3
나이스평가정보,O,O,X,X,O,O,X,O,5
주식회사 엠이티(MET CO. LTD)00200212022011421545768,O,O,O,O,O,O,O,O,8
주식회사 에코마린,O,O,X,O,O,O,O,O,7
주식회사 시즌_0001840861,O,O,O,O,O,O,O,O,8
트랜스파머(주),O,O,O,O,O,O,O,O,8
[주]망고트리,O,X,X,X,O,O,X,X,3
(주)바이스벌사,O,O,O,O,X,O,O,X,6
(주)패턴테크,O,O,O,O,O,O,O,O,8
(주)사운드플랫폼,O,O,O,O,O,O,O,X,7
(주)스위트엔데이터(SWEETNDATA.INC),O,O,O,O,O,O,O,O,8
(주)플렉싱크,O,O,X,O,O,O,O,O,7
휴디어스주식회사,O,O,O,O,O,O,O,O,8
주식회사 무담,O,O,O,O,O,O,O,O,8
오엔에스커뮤니케이션,X,X,X,X,X,X,X,X,0
주식회사 유피시앤에스,O,O,O,X,O,X,X,O,5
주식회사 인피닉,O,O,O,X,X,O,O,X,5
크리스타비전 주식회사,O,O,O,O,O,O,O,O,8
(주)투비시스템,O,O,O,O,O,X,O,O,7
주식회사 뮤티,O,O,X,O,O,X,X,O,5
키소프트 주식회사,O,O,O,O,O,O,O,O,8
하나와한솔(주),O,O,X,X,X,X,X,O,3
빅버드주식회사,O,O,O,O,O,O,O,O,8
한국딥러닝(주),O,O,O,O,O,O,O,O,8
한국표준협회,O,O,O,O,O,O,O,O,8
주식회사 뭉클랩,O,X,X,X,O,O,X,O,4
주식회사 바닐라브레인,O,X,X,O,O,O,X,O,5
주식회사 랭코드,O,O,O,O,O,O,O,O,8
(주)벡터시스,O,O,O,O,X,O,O,O,7
주식회사 셀파트너랩스,O,O,O,O,O,O,O,O,8
주식회사 애나,O,X,X,X,X,X,O,X,2
주식회사 코코에이치,O,O,X,X,O,X,X,O,4
주식회사 트위닛,X,X,X,X,X,X,X,X,0
주식회사 그로잉랩,X,X,X,X,X,X,X,X,0
주식회사띵킹프렌즈,O,O,X,O,O,O,O,O,7
나모웹비즈 주식회사,O,O,X,O,O,O,O,O,7
(주)인틴랩스,O,O,O,O,O,O,O,O,8
주식회사 바닐라엑스,O,O,O,X,O,O,O,X,6
주식회사 제이솔루션,O,O,O,X,O,X,O,O,6
(주)나라지식정보,O,O,O,O,O,O,O,O,8
주식회사 리피스,O,O,O,O,O,O,O,O,8
허브솔루션,O,O,O,O,O,O,O,O,8
넥스원소프트(주),O,O,X,X,X,O,X,X,3
(주)웨스트문,O,O,O,X,O,O,O,O,7
주식회사 멜라카,O,O,O,O,O,O,O,O,8
(주)미디어 코퍼스,O,O,O,X,X,X,O,X,4
주식회사 올핀,O,O,O,O,O,O,O,O,8
씨그로주식회사,O,O,O,O,O,O,O,O,8
주식회사더웨이유,O,O,O,O,O,O,O,O,8
(주)필상,X,X,X,X,X,X,X,X,0
(주)한샘가온,O,O,O,O,O,O,O,O,8
(주)디앤씨테크놀러지,O,O,X,O,O,O,O,O,7
팀에브리웨어,O,O,O,O,X,O,O,X,6
더블유에스코리아(주),O,X,O,X,X,O,X,X,3
두드림씨엔씨(주),O,O,O,O,O,O,O,O,8
(주)와이즈트래커,O,O,X,X,O,O,X,O,5
이다웰(주),O,O,O,O,O,O,O,O,8
주식회사 풀씨오믹스,O,O,X,X,O,X,X,O,4
(주)원스글로벌,X,X,X,X,X,X,X,X,0
(주)오토기기,O,O,O,O,O,O,O,O,8
라텔즈컴퍼니 주식회사,O,O,X,X,O,X,X,O,4
(주)아이이에스지,O,X,X,X,O,X,X,O,3
대인국제특허법률사무소,O,O,X,X,O,O,O,O,6
주식회사 에스에스엠아이,O,O,O,O,O,O,O,O,8
주식회사임팩티브에이아이,O,O,X,X,O,O,X,O,5
주식회사 이매지너리,O,O,X,O,O,O,O,O,7
주식회사 에이쓰리,O,O,O,O,X,O,O,O,7
주식회사 티나클론,O,X,X,X,X,X,X,O,2
주식회사 사차원주머니,O,O,X,X,O,X,X,O,4
주식회사 유니캐스트,O,O,X,O,X,X,O,O,5
주식회사 세환,O,O,O,O,O,O,O,O,8
플레이업파트너스 주식회사,O,O,O,X,X,X,O,O,5
특허법인 다옴,O,O,X,X,O,O,O,O,6
주식회사 인포보스,O,O,O,X,O,O,O,O,7
붐코커뮤니케이션,O,O,O,O,O,X,X,O,6
주식회사 아론티어,O,X,X,X,X,X,X,O,2
로그프레소,O,O,X,X,O,O,X,O,5
이스트앤츠 주식회사(04980)000368520250924210319379,O,O,X,O,O,O,X,O,6
(주)버티컬바,O,O,O,O,O,O,X,O,7
부산인터넷방송국,O,O,O,O,O,O,O,O,8
주식회사 모비니티,O,O,O,X,O,X,X,O,5
(주)엘지유플러스,O,O,X,X,O,X,X,O,4
솔라미,O,O,O,O,O,O,O,O,8
한국신용데이터,O,O,X,O,O,O,O,O,7
(주)현일렉트릭소프트,O,X,O,X,O,O,X,O,5
아하랩스,O,O,O,O,O,O,O,O,8
주식회사에프엘이에스,O,O,O,O,O,O,O,O,8
주식회사 메타디오,O,X,X,X,O,X,X,X,2
(주)엠더블유스토리(MWSTORY)0020028200601267467744,O,O,O,O,O,O,O,O,8
씨에프티 유한책임회사,O,O,X,O,X,X,X,O,4
주식회사 리피치,O,O,X,X,X,X,O,O,4
헤브론스타(주),O,O,O,X,O,X,O,O,6
주식회사 케이티아이에스,O,O,O,X,X,O,X,X,4
브릿지 에이아이,O,X,X,O,O,O,X,O,5
[주]팜킷,O,O,X,O,X,O,O,O,6
(주)오픈테스트,O,O,O,O,O,O,O,O,8
주식회사다컴즈,O,O,X,X,O,X,X,O,4
특허법인 알피엠,O,X,X,X,O,O,X,O,4
데이터스퀘어,O,O,O,O,O,O,O,O,8
(주)더원테크,O,O,O,O,O,O,O,O,8
주식회사 피에스디이엔지,O,O,O,O,O,O,O,O,8
가우스랩 주식회사,O,X,X,X,X,X,X,O,2
주식회사 페블러스,O,O,O,X,O,O,O,O,7
(주)페픽,O,O,O,O,O,O,O,O,8
주식회사 씨그래스,O,O,O,O,O,O,X,O,7
체이시로보틱스(주),O,O,X,X,O,X,O,O,5
캐치어스,O,O,O,X,O,O,X,O,6
워트인텔리전스,O,O,O,O,O,O,O,O,8
㈜씽크포비엘,O,O,O,O,O,O,O,O,8
에이아이티스토리 주식회사,O,O,O,O,X,O,O,O,7
씨에스라크 주식회사,O,O,O,O,O,O,O,O,8
(주)창조공작소,X,X,X,X,X,X,X,X,0
(주)아이지에이웍스,O,X,X,X,X,X,X,O,2
토스플레이스주식회사,O,O,X,O,O,O,X,O,6
(주)편리햅(14247853)0003023202411011058599,O,O,O,O,X,X,O,O,6
다큐브 주식회사,O,X,X,X,O,X,X,O,3
한국정밀농업 주식회사,O,O,X,X,O,O,X,O,5
(주)엠디에이,O,O,X,X,X,X,O,X,3
주식회사 케이비국민카드,O,O,O,O,X,O,O,O,7
(주) 메디플렉서스,O,O,O,O,O,O,O,O,8
렌더웍스,O,O,O,X,X,O,O,X,5
주식회사 플레이아이디어랩,O,O,O,O,O,X,O,O,7
주식회사 아이브랩,O,O,O,O,O,O,O,O,8
게티이미지코리아,X,X,X,X,X,X,X,X,0
(주)이크레더블,X,X,X,X,X,X,X,X,0
주식회사 모빌테크,O,O,X,X,X,X,O,X,3
와이필드 주식회사,O,O,X,O,O,O,X,O,6
주식회사 링크21,O,O,O,O,O,O,O,O,8
주식회사 볼라투스씨앤디,O,O,X,O,O,O,X,O,6
주식회사 데이탄소프트,O,O,O,O,O,O,O,O,8
제이파트너스(19867)000302020220602113716913,X,X,X,X,X,X,X,X,0
룰루메딕(주),O,X,X,X,O,X,X,O,3
주식회사 메이크,O,O,X,X,O,O,O,O,6
(주)와이이노베이션랩,O,O,O,O,O,O,O,O,8
(주)비투아시스템즈,O,O,O,O,O,O,O,O,8
일루넥스,O,O,O,O,O,O,O,O,8
주식회사올마이즈,O,O,O,O,O,O,O,O,8
스타일셀라,X,X,X,X,X,X,X,X,0
주식회사 아파트엔,O,X,X,X,X,O,X,X,2
케이유융합소프트웨어연구센터주식회사_0001663504,O,O,X,O,O,X,X,O,5
이랜드이노플,O,O,O,O,O,O,O,O,8
콘텐츠와사람들주식회사(conte)0004052E002467566,O,O,O,O,O,O,O,O,8
주식회사 세일리틱스,O,O,X,X,O,O,O,O,6
주식회사 아이웹,O,O,O,O,O,O,O,O,8
(주)에프아이솔루션,O,X,X,X,X,O,O,X,3
양재미디어주식회사,O,O,O,O,O,O,O,O,8
(주)한국리서치,X,X,X,X,X,X,X,X,0
(주)블로우랩,X,X,X,X,X,X,X,X,0
주식회사 유니컴퍼니,O,O,O,O,O,O,O,O,8
(주)랩큐,O,O,O,O,O,X,X,O,6
코데이터솔루션 주식회사,O,O,O,O,O,O,O,O,8
빅테크플러스 주식회사,O,O,X,O,X,O,X,O,5
주식회사 브이더블유원,O,O,X,O,O,O,X,O,6
(주)이노턴파트너즈,O,O,X,O,O,O,O,O,7
(주)퍼포먼스웨이컨설팅,O,O,O,O,O,O,O,O,8
프로브,O,O,O,O,O,O,O,O,8
주식회사하우그로우,O,O,O,O,O,O,O,O,8
주식회사 메디펀,O,O,O,O,O,O,O,O,8
알고보니,O,O,O,O,O,O,O,O,8
삼선 데이터경영 컨설팅,O,O,O,X,O,X,O,O,6
주식회사 코어엠,O,X,O,O,X,X,X,O,4
아이티씨지주식회사,O,O,O,O,O,O,O,O,8
주식회사 티벨,O,O,O,O,O,O,O,O,8
(주)크리마(20081)000302920190513122007093,O,X,X,X,O,O,O,O,5
주식회사프라이머스,O,O,O,O,O,O,O,O,8
주식회사 넥사디에스,O,O,O,O,O,O,O,O,8
주식회사 인투씨엔에스,X,X,X,X,X,X,X,X,0
주식회사 씨어스,O,O,O,O,O,O,O,O,8
(주)원데이터기술,O,O,O,O,O,O,O,O,8
주식회사 스쿱()001105520181128511000329,O,X,X,X,O,X,X,X,2
주식회사이엠솔루션,O,O,O,X,X,O,O,O,6
주식회사 메디리타,O,X,X,X,X,O,X,O,3
(주)윕스,O,O,O,X,X,O,O,O,6
(사)한국물가협회,X,X,X,X,X,X,X,X,0
에네이,O,O,X,O,O,X,X,O,5
김민지()001168420250718111001407,O,O,O,O,X,O,X,O,6
주식회사 덴탈비서_0001697475,O,X,X,X,O,O,X,O,4
(주)애즈플로우,X,X,X,X,X,X,X,X,0
(주)엠엠피,O,O,X,X,O,O,X,O,5
주식회사 니즈,O,O,X,X,X,O,X,O,4
(사)한국물가정보,X,X,X,X,X,X,X,X,0
주식회사 써드웍스,O,O,O,O,O,O,O,O,8
주식회사 볼타온 (VOLTAON),O,O,X,X,X,O,O,O,5
(주)소울소프트,O,O,O,O,O,O,O,O,8
(주)그리다에너지,O,O,X,O,O,X,X,O,5
(주)바이오바이츠,O,O,O,X,X,O,X,O,5
주식회사유유랑컴퍼니,O,O,O,O,O,O,O,O,8
에이엑스(주),O,O,O,O,O,O,O,O,8
헬스클라우드(주),O,O,O,O,O,O,O,O,8
휴머너 주식회사,O,O,O,O,O,O,O,O,8
(주)비온시이노베이터,O,O,O,O,O,O,O,O,8
(주)솔리드이엔지,O,X,X,O,X,X,X,O,3
주식회사 인사이터,O,O,O,O,O,O,O,O,8
위드마인드,O,O,O,O,O,X,X,O,6
주식회사구일이커뮤니케이(91)0004051I002526762,O,O,O,O,O,O,O,O,8
주식회사 알라딘시스템,O,O,X,O,O,O,X,O,6
오토시맨틱스 주식회사,O,O,O,O,O,O,O,X,7
(주)마크로밀엠브레인,O,O,X,O,O,X,X,O,5
주식회사 인디제이,O,O,O,O,O,O,O,O,8
주식회사 유니바,O,O,O,O,O,O,O,O,8
주식회사 에어텍,O,O,X,X,O,O,X,O,5
이창규(중원컨설팅)(JWCONSULTING)0004023D025708003,O,X,X,O,O,O,X,O,5
주식회사에이테크,O,O,O,O,O,O,O,O,8
제이웍스,O,O,O,X,X,O,X,O,5
코드비전 주식회사,O,O,O,O,O,O,O,O,8
주식회사 에듀템,O,O,O,X,O,X,O,O,6
주식회사 폴리랩스,O,X,X,O,O,X,X,O,4
(주)메타소프트,O,O,O,O,O,O,O,O,8
주식회사 에브리랩,O,O,X,O,O,X,X,X,4
에띠씽크,O,O,O,O,O,O,O,O,8
서울평가정보(주),O,O,X,X,X,O,O,O,5
(주)유니드,O,O,O,O,O,O,O,O,8
주식회사 프린토,O,X,X,O,O,X,O,O,5
주식회사 바이오리서치에이아이,O,O,O,O,X,X,O,O,6
(주) 이노포스트,O,O,O,O,O,O,O,O,8
주식회사 데이콘인피니티,O,O,O,O,O,O,O,O,8
(주)솔코,O,O,O,X,O,X,X,O,5
(주)티맥스티베로,O,X,X,X,X,X,X,X,1
(주)인텔로이드,O,O,O,O,O,O,O,O,8
데이터랩 주식회사,O,O,O,O,O,O,O,O,8
경기대학교 산학협력단,O,O,O,X,O,O,O,O,7
바움국제특허법률사무소,O,O,X,X,O,X,X,O,4
주식회사 노리스페이스,O,O,X,X,X,O,O,O,5
(주)시냅틱스에이아이,O,O,O,O,X,X,O,O,6
주식회사 스텔라비전,O,X,X,X,X,O,O,O,4
주식회사데타에이아이컨(DE)008102820211124181000358,O,X,X,X,X,O,X,O,3
주식회사 이산컨설팅그룹,O,X,X,X,O,X,X,O,3
유한회사 뮤레파코리아,O,O,X,X,O,O,X,O,5
에이치씨아이플러스(주),O,O,O,O,O,O,O,O,8
(주)스마트마케팅인포,O,O,O,O,O,O,O,O,8
주식회사 휴플,O,O,O,O,O,O,O,O,8
주식회사 맥세스컨설팅,O,O,O,O,O,O,X,O,7
(주)인더텍,O,O,O,O,O,X,O,X,6
(주)우림엔알,O,O,O,O,O,O,O,O,8
주식회사 데이터메이커,O,O,O,O,X,O,O,X,6
래딩랩스 주식회사,O,O,O,X,O,O,O,O,7
주)아이디케이스퀘어드,O,X,X,X,O,X,X,O,3
(주)아태인구연구원,O,O,O,O,O,O,O,O,8
주식회사 헤리티지커넥션,O,X,X,X,X,X,X,X,1
핵클 주식회사,O,X,X,X,O,O,X,O,4
(주)비즈플러그,O,O,O,O,O,O,O,O,8
주식회사 팀스페이스팜,O,O,X,X,O,O,X,O,5
(주)안셈-13531988,O,O,O,O,O,O,O,O,8
주식회사 엘아이엔티,O,O,O,O,O,O,O,O,8
아이피그라운드,O,O,X,X,O,O,X,O,5
프리즘 주식회사,O,O,O,O,O,O,X,O,7
주식회사브이피피랩(VPP LAB)0004054F001894394,O,X,X,X,O,X,X,O,3
백경특허법률사무소,O,O,X,X,O,O,X,O,5
주식회사 데이터노우즈,O,O,O,O,O,O,X,O,7
(주)신테카바이오,O,O,X,X,X,O,X,O,4
글나무 주식회사,O,O,O,X,X,O,O,X,5
소프트자이온,O,O,O,O,O,X,X,O,6
(주)넥스모어시스템즈,O,O,O,O,O,O,O,O,8
이지메타주식회사,O,O,X,X,X,O,O,O,5
버즈앤비(주),O,O,X,X,O,O,X,O,5
한국가치경영연구원 주식회사,O,O,O,X,O,O,O,O,7
포스페이스랩 주식회사,O,O,X,X,O,O,X,O,5
주식회사 데이터와이즈-26995713,O,O,O,O,O,O,O,O,8
주식회사 와따에이아이,O,O,X,X,X,O,O,O,5
로이쿠,O,O,O,O,O,O,O,O,8
주식회사가치랩스,O,O,O,O,O,O,O,O,8
엠에이엠 DESIGN,O,X,O,X,O,O,X,O,5
(주)맥킨리라이스,O,O,X,X,X,X,O,X,3
무한아이피씨 주식회사,O,O,X,X,O,O,O,O,6
(주)카탈로닉스,O,X,O,X,O,X,X,O,4
뉴로랩스 주식회사,O,O,O,O,O,O,O,O,8
(주)프롬프트타운,O,O,O,O,O,O,O,O,8
주식회사 브로큰에그,O,O,X,O,O,X,X,X,4
(주)빅스터,O,O,O,O,O,O,O,O,8
주식회사 신세릭스,O,O,O,O,O,X,X,O,6
에이엑스솔루션즈,O,O,O,O,O,O,O,O,8
(주)인사이트마이닝,O,O,O,O,O,X,X,O,6
케이씨(KC)미래기술(주)_0001539549,O,O,O,X,O,X,O,O,6
주식회사 카라아이엔씨,O,O,O,O,X,O,O,X,6
주식회사 무버스,O,O,O,O,O,O,O,O,8
주식회사 로드피아,X,X,X,X,X,X,X,X,0
(주)카일이삼제스퍼,X,X,X,X,X,X,X,X,0
데이터에듀,O,O,O,O,O,O,O,O,8
(주)지지옥션1총괄겸(BizBank)008802020131008188000882,X,X,X,X,X,X,X,X,0
주식회사 마이메타,O,O,O,O,O,O,O,O,8
(주)프롬데이터,O,O,X,X,X,O,O,O,5
주식회사 탈피오트,O,O,O,O,O,O,O,O,8
주식회사 제이씨지,O,X,X,X,O,O,O,O,5
엠제이커넥트,O,O,X,O,O,X,X,X,4
(주)와이디엔에스,O,O,O,O,O,O,X,O,7
(주)미래융합정보기술,O,O,O,O,O,O,O,O,8
헬리안투스 주식회사,O,O,O,O,O,O,O,O,8
주식회사 더이노베이터스,O,O,O,O,O,O,O,O,8
주식회사펜타스아이피,O,O,X,X,O,O,X,O,5
주식회사 아무르,O,O,O,O,O,O,O,O,8
(주)하마랩,O,O,X,X,O,O,O,O,6
주식회사 앤톡,O,X,X,X,O,O,X,O,4
(주)지란지교데이터,O,O,O,O,O,O,O,O,8
주식회사 트레이드파트너스,O,O,X,X,O,O,O,O,6
제로원특허법률사무소,O,X,X,X,O,O,X,O,4
한국정보통신(주),X,X,X,X,X,X,X,X,0
주식회사 플리토,O,X,O,X,X,X,O,X,3
네오모듈,O,O,O,O,X,O,O,X,6
주식회사 모멘트큐브-26617066,O,O,O,O,O,O,O,O,8
(주)슈퍼스타트()6441859,O,O,O,O,X,O,O,X,6
(주)가온프라임,O,X,X,X,X,X,X,X,1
주식회사 토마스톤(THOMASTONE)00200232022080122465662,O,O,O,O,O,O,O,O,8
주식회사 뉴런즈,O,O,O,O,O,O,O,O,8
컨시언스테크놀로지,O,O,X,X,X,O,O,O,5
(주)벽촌,O,O,O,O,O,O,O,O,8
주식회사 브릴위즈,O,O,X,X,O,O,X,O,5
(주)라임솔루션,O,O,O,X,O,O,O,O,7
아일리스프런티어,O,O,O,O,O,O,O,O,8
주식회사 위즈맵세븐,O,O,X,X,O,X,X,O,4
피타그래프,O,X,X,X,O,X,X,X,2
강한솔루션,O,O,O,O,O,X,O,O,7
바이오링크 주식회사,O,O,X,O,O,O,O,O,7
주식회사 공감미디어,O,X,X,X,X,X,X,X,1
모바일 앱개발 협동조합,O,O,O,O,O,O,O,O,8
(주)닐리리아(12300)0003025201602251334022,X,X,X,X,X,X,X,X,0
주식회사 디에이블,O,O,X,O,X,O,X,X,4
제이씨엔에스,O,O,O,O,O,O,X,O,7
주식회사 윔,O,O,O,O,O,O,O,O,8
주식회사 디피니트,O,O,X,O,O,O,X,X,5
주식회사 정션메드(Junction Med)00200232022022421044110,O,O,X,X,O,O,O,O,6
주식회사 인튜웍스,O,O,O,O,O,O,O,O,8
(주)애드아임,O,O,O,X,O,X,X,O,5
주식회사 한국데이터체인,O,O,O,O,O,O,O,O,8
(주)디빌드,O,O,O,O,O,O,O,O,8
주식회사 세림씨앤에스(SE)008105620221125581000704,O,O,O,O,O,O,O,O,8
한국전자영수증주식회사,O,O,O,O,O,O,O,O,8
핑거포인트랩(주),O,O,O,O,O,X,X,O,6
두레시닝(주),O,O,O,X,O,O,X,O,6
주식회사라미솔루션(Lamysolution)0004058H002138038,O,O,O,O,O,O,O,O,8
주식회사 크라우드웍스,O,O,O,O,O,O,O,O,8
넷타겟,O,X,X,X,X,O,X,O,3
주식회사 나인와트,O,O,X,O,O,O,X,O,6
주식회사 엠지스,O,O,O,X,O,O,O,O,7
(주)루트시스템,O,O,O,O,O,O,O,O,8
티에스컨설팅그룹 주식회사,O,X,X,X,O,O,X,O,4
주식회사 데이터링커,O,O,X,O,O,O,O,O,7
주식회사 이레테크,O,O,O,O,O,X,O,O,7
에이치비씨 주식회사,O,O,X,X,O,O,X,O,5
주식회사 두잇,O,O,O,O,O,X,O,O,7
(주)레몬클라우드,O,O,X,X,X,X,O,X,3
디씨테크 주식회사,O,O,O,X,O,O,O,O,7
