기업명,제공 서비스 분야,일치 키워드 수,일치도(%),가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석
롤랑 유한책임회사 (ROLLAND),30 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
(주)기업혁신센터,9,8,100.0,O,O,O,O,O,O,O,O
(주)휴먼딥,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 꿀비,8,8,100.0,O,O,O,O,O,O,O,O
리더스경영지도사사무소,10,8,100.0,O,O,O,O,O,O,O,O
(주)지디에스컨설팅그룹,6,8,100.0,O,O,O,O,O,O,O,O
주식회사 엑스에이아이,10,8,100.0,O,O,O,O,O,O,O,O
(주)데이터웨이,7,8,100.0,O,O,O,O,O,O,O,O
한솔코에버(주),6,8,100.0,O,O,O,O,O,O,O,O
(주)디엠티랩스,23,8,100.0,O,O,O,O,O,O,O,O
주식회사 대교씨엔에스,39,8,100.0,O,O,O,O,O,O,O,O
(주)에이비씨랩스,21 파일/API 농업,8,100.0,O,O,O,O,O,O,O,O
(주)이지에이아이,45 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
주식회사 컴포랩스,131 파일/API 헬스,8,100.0,O,O,O,O,O,O,O,O
주식회사 트랙팜,38,8,100.0,O,O,O,O,O,O,O,O
주식회사 아크론,33,8,100.0,O,O,O,O,O,O,O,O
주식회사 세이프모션,30,8,100.0,O,O,O,O,O,O,O,O
(주)메타큐랩,38,8,100.0,O,O,O,O,O,O,O,O
주식회사 초이웍스,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 인핸스,40,8,100.0,O,O,O,O,O,O,O,O
나이스지니데이타 주식회사,22,8,100.0,O,O,O,O,O,O,O,O
주식회사 리커너스,7,8,100.0,O,O,O,O,O,O,O,O
에너지닥터(주),8,8,100.0,O,O,O,O,O,O,O,O
타이거 인공지능,13 파일/API 헬스,8,100.0,O,O,O,O,O,O,O,O
한국품질기술원 주식회사,8,8,100.0,O,O,O,O,O,O,O,O
주식회사 엠티에스티,11,8,100.0,O,O,O,O,O,O,O,O
(주)서브소프트,8 파일/API 통신,8,100.0,O,O,O,O,O,O,O,O
(주)에프에이솔루션,24,8,100.0,O,O,O,O,O,O,O,O
퍼스널에이아이(주),43,8,100.0,O,O,O,O,O,O,O,O
주식회사 루트랩(ROOT LAB),17,8,100.0,O,O,O,O,O,O,O,O
주식회사 에이아이웍스,52 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
(주)써니마인드,45 파일/API 통신,8,100.0,O,O,O,O,O,O,O,O
R2C 컴퍼니,67,8,100.0,O,O,O,O,O,O,O,O
주식회사 프리픽스,20,8,100.0,O,O,O,O,O,O,O,O
주식회사날리지큐브,8 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
스쿨모아 주식회사,6 파일/API 기후,8,100.0,O,O,O,O,O,O,O,O
주식회사 플롯팩토리,12,8,100.0,O,O,O,O,O,O,O,O
(주)아이씨엔아이티,10,8,100.0,O,O,O,O,O,O,O,O
(주)와우쓰리디(WOW3D),12,8,100.0,O,O,O,O,O,O,O,O
(주)에이아이리더,6,8,100.0,O,O,O,O,O,O,O,O
주식회사 아이피씨앤비,9,8,100.0,O,O,O,O,O,O,O,O
세븐제너레이션,7,8,100.0,O,O,O,O,O,O,O,O
(주)에이피메타랩스,13,8,100.0,O,O,O,O,O,O,O,O
주식회사 틱택코리아,62,8,100.0,O,O,O,O,O,O,O,O
뉴런아키텍쳐,30,8,100.0,O,O,O,O,O,O,O,O
주식회사 재이인피니티웍스_0002139632,19,8,100.0,O,O,O,O,O,O,O,O
데이터텍 주식회사,24 파일/API 제조,8,100.0,O,O,O,O,O,O,O,O
주식회사 스페이셜코어,14,8,100.0,O,O,O,O,O,O,O,O
주식회사 테이큰소프트,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 빅웨이브에이아이,14,8,100.0,O,O,O,O,O,O,O,O
(주)마켓링크,18 파일/API 제조,8,100.0,O,O,O,O,O,O,O,O
주식회사 더블오,8 파일/API 제조,8,100.0,O,O,O,O,O,O,O,O
(주)에이아이스타,22,8,100.0,O,O,O,O,O,O,O,O
주식회사 에프디테크,9,8,100.0,O,O,O,O,O,O,O,O
한국스마트기술센터,11,8,100.0,O,O,O,O,O,O,O,O
주식회사 이오앱스,13,8,100.0,O,O,O,O,O,O,O,O
주식회사 테크스타,8,8,100.0,O,O,O,O,O,O,O,O
아하앤컴퍼니 주식회사,11,8,100.0,O,O,O,O,O,O,O,O
(주)오픈컴,12,8,100.0,O,O,O,O,O,O,O,O
주식회사 빅인사이트,11,8,100.0,O,O,O,O,O,O,O,O
(주)상상력집단,9,8,100.0,O,O,O,O,O,O,O,O
나이스평가정보,16,8,100.0,O,O,O,O,O,O,O,O
(주)선도소프트,15,8,100.0,O,O,O,O,O,O,O,O
콤비로 주식회사,12,8,100.0,O,O,O,O,O,O,O,O
주식회사 템플러아카이브,20,8,100.0,O,O,O,O,O,O,O,O
(주)하이로컬,17,8,100.0,O,O,O,O,O,O,O,O
주식회사 테스티파이,8,8,100.0,O,O,O,O,O,O,O,O
주식회사 알파브라더스,39,8,100.0,O,O,O,O,O,O,O,O
주식회사 블렌디드랩,9 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
(주)피앰아이,10 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
주식회사에이비엠랩,13,8,100.0,O,O,O,O,O,O,O,O
윌로특허법률사무소,6,8,100.0,O,O,O,O,O,O,O,O
(주)루트시스템,8,8,100.0,O,O,O,O,O,O,O,O
두레시닝(주),13 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
한국전자영수증주식회사,6,8,100.0,O,O,O,O,O,O,O,O
(주)디빌드,12,8,100.0,O,O,O,O,O,O,O,O
주식회사 한국데이터체인,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 윔,7 파일/API 환경,8,100.0,O,O,O,O,O,O,O,O
크리스타비전 주식회사,19,8,100.0,O,O,O,O,O,O,O,O
주식회사 무담,14,8,100.0,O,O,O,O,O,O,O,O
휴디어스주식회사,21 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
(주)스위트엔데이터(SWEETNDATA.INC),25,8,100.0,O,O,O,O,O,O,O,O
(주)패턴테크,16,8,100.0,O,O,O,O,O,O,O,O
트랜스파머(주),20 파일/API 금융,8,100.0,O,O,O,O,O,O,O,O
주식회사 시즌_0001840861,13,8,100.0,O,O,O,O,O,O,O,O
아일리스프런티어,15,8,100.0,O,O,O,O,O,O,O,O
컨시언스테크놀로지,11,8,100.0,O,O,O,O,O,O,O,O
주식회사 뉴런즈,17 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
(주)가온프라임,7,8,100.0,O,O,O,O,O,O,O,O
주식회사 모멘트큐브-26617066,10,8,100.0,O,O,O,O,O,O,O,O
주식회사 플리토,7,8,100.0,O,O,O,O,O,O,O,O
주식회사 셀파트너랩스,20,8,100.0,O,O,O,O,O,O,O,O
(주)벡터시스,14,8,100.0,O,O,O,O,O,O,O,O
주식회사 랭코드,39,8,100.0,O,O,O,O,O,O,O,O
한국표준협회,33,8,100.0,O,O,O,O,O,O,O,O
한국딥러닝(주),77 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
빅버드주식회사,15,8,100.0,O,O,O,O,O,O,O,O
키소프트 주식회사,17,8,100.0,O,O,O,O,O,O,O,O
(주)지란지교데이터,12 파일/API 통신,8,100.0,O,O,O,O,O,O,O,O
주식회사 아무르,8 파일/API 특허,8,100.0,O,O,O,O,O,O,O,O
주식회사 더이노베이터스,10,8,100.0,O,O,O,O,O,O,O,O
헬리안투스 주식회사,11,8,100.0,O,O,O,O,O,O,O,O
(주)미래융합정보기술,10,8,100.0,O,O,O,O,O,O,O,O
주식회사 탈피오트,13 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
주식회사 마이메타,12,8,100.0,O,O,O,O,O,O,O,O
(주)한샘가온,20 파일/API 공공,8,100.0,O,O,O,O,O,O,O,O
씨그로주식회사,22,8,100.0,O,O,O,O,O,O,O,O
주식회사 올핀,25,8,100.0,O,O,O,O,O,O,O,O
주식회사 멜라카,21 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
주식회사 리피스,13,8,100.0,O,O,O,O,O,O,O,O
(주)나라지식정보,18,8,100.0,O,O,O,O,O,O,O,O
(주)인틴랩스,1370,8,100.0,O,O,O,O,O,O,O,O
주식회사 무버스,10,8,100.0,O,O,O,O,O,O,O,O
에이엑스솔루션즈,10,8,100.0,O,O,O,O,O,O,O,O
(주)빅스터,10,8,100.0,O,O,O,O,O,O,O,O
(주)프롬프트타운,19 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
주식회사가치랩스,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 와따에이아이,10 파일/API 교통,8,100.0,O,O,O,O,O,O,O,O
주식회사 데이터와이즈-26995713,18 파일/API 식약품,8,100.0,O,O,O,O,O,O,O,O
(주)넥스모어시스템즈,8 파일/API 통신,8,100.0,O,O,O,O,O,O,O,O
주식회사 엘아이엔티,7,8,100.0,O,O,O,O,O,O,O,O
(주)안셈-13531988,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 에스에스엠아이,21,8,100.0,O,O,O,O,O,O,O,O
(주)오토기기,25 파일/API 제조,8,100.0,O,O,O,O,O,O,O,O
이다웰(주),23,8,100.0,O,O,O,O,O,O,O,O
두드림씨엔씨(주),18,8,100.0,O,O,O,O,O,O,O,O
(주)아태인구연구원,9 파일/API 지역,8,100.0,O,O,O,O,O,O,O,O
(주)우림엔알,6 파일/API 산림,8,100.0,O,O,O,O,O,O,O,O
주식회사 휴플,10,8,100.0,O,O,O,O,O,O,O,O
(주)스마트마케팅인포,34,8,100.0,O,O,O,O,O,O,O,O
에이치씨아이플러스(주),7,8,100.0,O,O,O,O,O,O,O,O
데이터랩 주식회사,15,8,100.0,O,O,O,O,O,O,O,O
(주)인텔로이드,8,8,100.0,O,O,O,O,O,O,O,O
(주) 이노포스트,8,8,100.0,O,O,O,O,O,O,O,O
(주)유니드,8,8,100.0,O,O,O,O,O,O,O,O
주식회사 에브리랩,10,8,100.0,O,O,O,O,O,O,O,O
(주)메타소프트,12,8,100.0,O,O,O,O,O,O,O,O
주식회사 메타디오,14,8,100.0,O,O,O,O,O,O,O,O
주식회사에프엘이에스,18,8,100.0,O,O,O,O,O,O,O,O
(주)현일렉트릭소프트,21,8,100.0,O,O,O,O,O,O,O,O
(주)엘지유플러스,18,8,100.0,O,O,O,O,O,O,O,O
주식회사 세환,13,8,100.0,O,O,O,O,O,O,O,O
코드비전 주식회사,19,8,100.0,O,O,O,O,O,O,O,O
주식회사 유니바,20,8,100.0,O,O,O,O,O,O,O,O
주식회사 인디제이,18,8,100.0,O,O,O,O,O,O,O,O
주식회사 인사이터,9 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
(주)비온시이노베이터,11,8,100.0,O,O,O,O,O,O,O,O
휴머너 주식회사,17,8,100.0,O,O,O,O,O,O,O,O
헬스클라우드(주),17,8,100.0,O,O,O,O,O,O,O,O
에이엑스(주),19,8,100.0,O,O,O,O,O,O,O,O
주식회사유유랑컴퍼니,11,8,100.0,O,O,O,O,O,O,O,O
(주)소울소프트,13,8,100.0,O,O,O,O,O,O,O,O
주식회사 써드웍스,15 파일/API 교통,8,100.0,O,O,O,O,O,O,O,O
주식회사 씨어스,10,8,100.0,O,O,O,O,O,O,O,O
㈜씽크포비엘,20,8,100.0,O,O,O,O,O,O,O,O
워트인텔리전스,26 파일/API 특허,8,100.0,O,O,O,O,O,O,O,O
주식회사 페블러스,15,8,100.0,O,O,O,O,O,O,O,O
주식회사 피에스디이엔지,14,8,100.0,O,O,O,O,O,O,O,O
(주)더원테크,9,8,100.0,O,O,O,O,O,O,O,O
데이터스퀘어,17,8,100.0,O,O,O,O,O,O,O,O
(주)오픈테스트,18,8,100.0,O,O,O,O,O,O,O,O
주식회사프라이머스,10,8,100.0,O,O,O,O,O,O,O,O
아이티씨지주식회사,15,8,100.0,O,O,O,O,O,O,O,O
주식회사 메디펀,26,8,100.0,O,O,O,O,O,O,O,O
주식회사하우그로우,87 파일/API 문화,8,100.0,O,O,O,O,O,O,O,O
(주)퍼포먼스웨이컨설팅,12,8,100.0,O,O,O,O,O,O,O,O
코데이터솔루션 주식회사,720,8,100.0,O,O,O,O,O,O,O,O
양재미디어주식회사,17,8,100.0,O,O,O,O,O,O,O,O
이랜드이노플,21,8,100.0,O,O,O,O,O,O,O,O
(주)비투아시스템즈,20 파일/API 스마트산업,8,100.0,O,O,O,O,O,O,O,O
(주)와이이노베이션랩,19,8,100.0,O,O,O,O,O,O,O,O
주식회사 링크21,12,8,100.0,O,O,O,O,O,O,O,O
주식회사 아이브랩,18,8,100.0,O,O,O,O,O,O,O,O
씨에스라크 주식회사,11,8,100.0,O,O,O,O,O,O,O,O
주식회사 바이트사이즈,9,8,100.0,O,O,O,O,O,O,O,O
어반 국제특허법률사무소,10,8,100.0,O,O,O,O,O,O,O,O
제엔제이컨설팅 주식회사,15,8,100.0,O,O,O,O,O,O,O,O
주식회사 에스디테크,9,8,100.0,O,O,O,O,O,O,O,O
주식회사 지앤지인터내셔널,8,8,100.0,O,O,O,O,O,O,O,O
이지앤웰니스(주),70 파일/API 헬스,8,100.0,O,O,O,O,O,O,O,O
(주)비츠에스앤지,64,8,100.0,O,O,O,O,O,O,O,O
주식회사 윤즈정보개발,125,8,100.0,O,O,O,O,O,O,O,O
(주)빅링크에이아이,453,8,100.0,O,O,O,O,O,O,O,O
주식회사 디스에이블드,16,8,100.0,O,O,O,O,O,O,O,O
블루어드에임즈 주식회사,27,8,100.0,O,O,O,O,O,O,O,O
주식회사 나두모두,159,7,87.5,O,O,O,O,O,O,X,O
주식회사 니어네트웍스,15,7,87.5,O,O,O,X,O,O,O,O
주)리빈에이아이,109,7,87.5,O,O,O,O,O,X,O,O
(주)그노티,229,7,87.5,O,O,X,O,O,O,O,O
주식회사 캐롯아이,62,7,87.5,O,O,O,O,X,O,O,O
주식회사 깔로_0001666672,17,7,87.5,O,O,O,O,O,X,O,O
주식회사 씨그래스,18,7,87.5,O,O,O,O,O,O,X,O
주식회사 플레이아이디어랩,26,7,87.5,O,O,O,O,O,X,O,O
주식회사 케이비국민카드,64 파일/API 금융,7,87.5,O,O,O,O,X,O,O,O
(주)이노턴파트너즈,16,7,87.5,O,O,X,O,O,O,O,O
주식회사 이너피플,12,7,87.5,O,O,O,O,O,O,X,O
(주)코테크시스템,6,7,87.5,O,O,O,O,O,O,O,X
㈜하마다랩스,9,7,87.5,O,O,X,O,O,O,O,O
오토시맨틱스 주식회사,9,7,87.5,O,O,O,O,O,O,O,X
주식회사 맥세스컨설팅,15 파일/API 공공,7,87.5,O,O,O,O,O,O,X,O
래딩랩스 주식회사,7,7,87.5,O,O,O,X,O,O,O,O
주식회사 인포보스,21,7,87.5,O,O,O,X,O,O,O,O
(주)버티컬바,13,7,87.5,O,O,O,O,O,O,X,O
주식회사 이매지너리,17,7,87.5,O,O,X,O,O,O,O,O
주식회사 데이터노우즈,15 파일/API 공간,7,87.5,O,O,O,O,O,O,X,O
주식회사 에이쓰리,15,7,87.5,O,O,O,O,X,O,O,O
주식회사 리스트,52,7,87.5,O,O,O,O,X,O,O,O
한국신용데이터,31 파일/API 지역,7,87.5,O,O,X,O,O,O,O,O
경기대학교 산학협력단,10,7,87.5,O,O,O,X,O,O,O,O
에이플라 주식회사,31 파일/API 제조,7,87.5,O,O,O,O,O,O,O,X
서광항업(주)_0000313947,14 파일/API 특허,7,87.5,O,O,O,X,O,O,O,O
(주)와이즈인컴퍼니,11,7,87.5,O,O,O,O,X,O,O,O
주식회사 솔팩,7,7,87.5,O,O,O,O,O,O,O,X
주식회사 휴머스온,13 파일/API 스마트산업,7,87.5,O,O,O,O,O,O,X,O
주식회사 시선아이티,7,7,87.5,O,O,O,O,O,O,X,O
(주)이젬코,11,7,87.5,O,O,O,O,O,O,X,O
주식회사 글렉,14,7,87.5,O,O,O,X,O,O,O,O
에이펙스소프트,13,7,87.5,O,O,O,O,X,O,O,O
주식회사 메디아이플러스,62 파일/API 헬스,7,87.5,O,O,O,X,O,O,O,O
주식회사 스마트고,25,7,87.5,O,O,O,O,O,O,X,O
(주)슈퍼스타트()6441859,11,7,87.5,O,O,O,O,X,O,O,O
디지털 리퍼블릭,8,7,87.5,O,O,O,O,O,X,O,O
(주)디앤씨테크놀러지,11,7,87.5,O,O,X,O,O,O,O,O
(주)웨스트문,14,7,87.5,O,O,O,X,O,O,O,O
(주)와이디엔에스,9,7,87.5,O,O,O,O,O,O,X,O
주식회사 핀인사이트,15 파일/API 공공,7,87.5,O,O,X,O,O,O,O,O
나모웹비즈 주식회사,18,7,87.5,O,O,X,O,O,O,O,O
주식회사 이엠에스,7,7,87.5,O,O,O,X,O,O,O,O
한국가치경영연구원 주식회사,9,7,87.5,O,O,O,X,O,O,O,O
(주)이씨스,7,7,87.5,O,O,O,O,X,O,O,O
주식회사 이레테크,8,7,87.5,O,O,O,O,O,X,O,O
주식회사 데이터링커,29,7,87.5,O,O,X,O,O,O,O,O
디씨테크 주식회사,6,7,87.5,O,O,O,X,O,O,O,O
주식회사 두잇,8,7,87.5,O,O,O,O,O,X,O,O
(주)라임솔루션,9,7,87.5,O,O,O,X,O,O,O,O
(주)데이터사이언스랩,12,7,87.5,O,O,O,O,O,X,O,O
이브이앤솔루션 주식회사,11,7,87.5,O,O,O,O,O,X,O,O
주식회사 위즈맵세븐,7,7,87.5,O,O,O,O,O,X,O,O
데이터스랩 주식회사,12,7,87.5,O,O,O,O,O,O,X,O
(주)투비시스템,17,7,87.5,O,O,O,O,O,X,O,O
주식회사 에코마린,14 파일/API 해양수산,7,87.5,O,O,X,O,O,O,O,O
(주)플렉싱크,17,7,87.5,O,O,X,O,O,O,O,O
바이오링크 주식회사,14,7,87.5,O,O,X,O,O,O,O,O
(주)사운드플랫폼,15,7,87.5,O,O,O,O,O,O,O,X
제이씨엔에스,8,7,87.5,O,O,O,O,O,O,X,O
주식회사 하이스트레인저,1235,7,87.5,O,O,O,X,O,O,O,O
오픈그래프랩스,7,7,87.5,O,O,O,O,O,X,O,O
주식회사 컴플렉시온,9,7,87.5,O,O,O,O,X,O,O,O
에이아이티스토리 주식회사,28 파일/API 식약품,7,87.5,O,O,O,O,X,O,O,O
주식회사 브이이엔지,15 파일/API 헬스,7,87.5,O,O,X,O,O,O,O,O
주식회사 엘렉시,155,7,87.5,O,O,X,O,O,O,O,O
상상특허법률사무소_0001260132,25,7,87.5,O,O,O,X,O,O,O,O
(주)리본케어,43 파일/API 스마트산업,7,87.5,O,O,O,O,X,O,O,O
(주)에이다플렛폼,32,7,87.5,O,O,O,O,O,O,X,O
주식회사 에코아이,7,7,87.5,O,O,X,O,O,O,O,O
주식회사 더블유포지션,9,7,87.5,O,O,X,O,O,O,O,O
주식회사 오든,17,7,87.5,O,O,O,O,O,O,X,O
주식회사에이리스,7,7,87.5,O,O,O,O,O,X,O,O
(주)트위그팜,21,7,87.5,O,O,O,O,X,O,O,O
어니컴주식회사,10,7,87.5,O,O,O,O,O,O,X,O
에이아이 데이터 연구소,17,7,87.5,O,O,O,O,O,O,X,O
(주)에스피파트너스,15,7,87.5,O,O,O,O,O,O,X,O
주식회사띵킹프렌즈,34,7,87.5,O,O,X,O,O,O,O,O
넷플러스(주),24,7,87.5,O,O,O,O,O,X,O,O
(주)웨더아이,11 파일/API 기후,7,87.5,O,O,X,O,O,O,O,O
붐코커뮤니케이션,17,6,75.0,O,O,O,O,O,X,X,O
주식회사 데이터메이커,1128,6,75.0,O,O,O,O,X,O,O,X
특허법인 다옴,17,6,75.0,O,O,X,X,O,O,O,O
대인국제특허법률사무소,28,6,75.0,O,O,X,X,O,O,O,O
주식회사 아론티어,17,6,75.0,O,O,X,O,O,O,X,O
코드크레인유한회사,14,6,75.0,O,O,X,X,O,O,O,O
주식회사 지신,17,6,75.0,O,O,X,O,O,X,O,O
주식회사 알라딘시스템,14,6,75.0,O,O,X,O,O,O,X,O
주식회사 바이오리서치에이아이,20 파일/API 식약품,6,75.0,O,O,O,O,X,X,O,O
주식회사 에듀템,38 파일/API 교육,6,75.0,O,O,O,X,O,X,O,O
특허법인 해안,17 파일/API 식약품,6,75.0,O,O,X,X,O,O,O,O
(주)컴트루테크놀로지,24,6,75.0,O,O,O,X,O,O,X,O
(주)모니터랩,10 파일/API 스마트산업,6,75.0,O,O,X,O,X,O,O,O
(주)인더텍,8,6,75.0,O,O,O,O,O,X,O,X
(주)엠펀치,9,6,75.0,O,O,X,O,O,O,X,O
(주)시냅틱스에이아이,10,6,75.0,O,O,O,O,X,X,O,O
스론주식회사,27,6,75.0,O,O,X,O,O,X,O,O
주식회사 세일리틱스,25,6,75.0,O,O,X,X,O,O,O,O
주식회사 메디리타,51 파일/API 특허,6,75.0,O,O,O,X,X,O,O,O
주식회사이엠솔루션,20,6,75.0,O,O,O,X,X,O,O,O
지비피엘 주식회사,9,6,75.0,O,O,X,O,O,O,X,O
토스플레이스주식회사,27 파일/API 의료,6,75.0,O,O,O,O,X,X,O,O
김민지()001168420250718111001407,14,6,75.0,O,O,O,O,X,O,X,O
주식회사 브이더블유원,12,6,75.0,O,O,X,O,O,O,X,O
체이시로보틱스(주),15,6,75.0,O,O,O,X,O,O,X,O
(주)블릭스랩스(blixlabsCorp.),145,6,75.0,O,O,O,X,O,X,O,O
주식회사팀리부뜨,69,6,75.0,O,O,O,X,O,O,X,O
에쓰오씨소프트(주),17,6,75.0,O,O,O,X,O,X,O,O
삼선 데이터경영 컨설팅,11,6,75.0,O,O,O,X,O,X,O,O
주식회사 온아웃,43,6,75.0,O,O,X,X,O,O,O,O
주식회사 볼라투스씨앤디,19 파일/API 지역,6,75.0,O,O,X,O,O,O,X,O
와이필드 주식회사,21,6,75.0,O,O,X,O,O,O,X,O
주식회사 리다임그룹,9,6,75.0,O,O,O,X,O,O,X,O
주식회사 메이크,16,6,75.0,O,O,X,X,O,O,O,O
유한회사나노웨더,8,6,75.0,O,O,O,X,O,O,X,O
(주)코아아이티,14,6,75.0,O,O,O,O,X,O,O,X
(주)마이스소프트,13,6,75.0,O,O,O,O,O,X,X,O
주식회사 원더스랩,25,6,75.0,O,O,X,O,O,O,X,O
씨벤티지 주식회사,9 파일/API 해양수산,6,75.0,O,O,O,X,O,O,X,O
특허법인 로드,15,6,75.0,O,O,O,X,O,O,X,O
특허법인 티앤아이,11,6,75.0,O,O,X,X,O,O,O,O
(주)스팩스페이스,22,6,75.0,O,O,O,O,X,O,O,X
핑거포인트랩(주),9,6,75.0,O,O,O,O,O,X,X,O
주식회사 나인와트,10,6,75.0,O,O,X,O,O,O,X,O
주식회사 아이원_0001247342,15,6,75.0,O,O,X,X,O,O,O,O
주식회사 아이택트,8,6,75.0,O,O,X,O,O,X,O,O
(주)디지포레,7,6,75.0,O,O,O,O,O,X,X,O
주식회사 원라인에이아이,18,6,75.0,O,O,O,X,O,X,O,O
주식회사 제이솔루션,24 파일/API 통신,6,75.0,O,O,O,X,O,X,O,O
주식회사 바닐라엑스,37 파일/API 문화,6,75.0,O,O,O,X,O,O,O,X
팀에브리웨어,28 파일/API 제조,6,75.0,O,O,O,O,X,O,O,X
주식회사 배터랩,26,6,75.0,O,O,O,O,O,X,X,O
비젠트로(주),27,6,75.0,O,O,O,O,O,X,X,O
주식회사 필굿,23,6,75.0,O,O,O,X,O,O,X,O
주식회사 카라아이엔씨,11,6,75.0,O,O,O,O,X,O,O,X
특허그룹 디딤,13,6,75.0,O,O,O,X,O,O,X,O
(주)인사이트마이닝,10,6,75.0,O,O,O,O,O,X,X,O
주식회사 신세릭스,7,6,75.0,O,O,O,O,O,X,X,O
무한아이피씨 주식회사,6,6,75.0,O,O,X,X,O,O,O,O
소프트자이온,9,6,75.0,O,O,O,O,O,X,X,O
케이씨(KC)미래기술(주)_0001539549,6,6,75.0,O,O,O,X,O,X,O,O
주식회사 디피니트,13,6,75.0,O,O,X,X,O,O,O,O
(주)하마랩,12,6,75.0,O,O,X,X,O,O,O,O
주식회사 씨바이오테크,49,6,75.0,O,O,X,X,O,O,O,O
(주)바이스벌사,24,6,75.0,O,O,O,O,X,O,O,X
주식회사 트레이드파트너스,8 파일/API 스마트산업,6,75.0,O,O,X,X,O,O,O,O
스마트쿱(주),29 파일/API 제조,6,75.0,O,O,O,X,O,X,O,O
주식회사 유니컴퍼니,16,6,75.0,O,O,O,O,O,X,X,O
주식회사 위밋모빌리티,22 파일/API 교통,6,75.0,O,O,X,X,O,O,O,O
헤브론스타(주),23 파일/API 지역,6,75.0,O,O,O,X,O,X,O,O
브릿지 에이아이,19,6,75.0,O,O,X,O,X,O,O,O
(주) 메디플렉서스,18,5,62.5,O,O,O,X,X,O,O,X
(주)다래전략사업화센터,34,5,62.5,O,O,X,X,O,O,X,O
한국정밀농업 주식회사,31,5,62.5,O,O,X,X,O,O,X,O
셀렉트스타 주식회사,150,5,62.5,O,O,O,X,X,O,O,X
주식회사 밸리언트데이터,10,5,62.5,O,O,O,X,X,X,O,O
특허법률사무소 창_0001725809,18,5,62.5,O,O,X,X,O,O,X,O
특허법인 도담,20,5,62.5,O,O,X,X,O,O,X,O
(주)올아이원,58,5,62.5,O,O,X,X,O,X,O,O
빅테크플러스 주식회사,23 파일/API 금융,5,62.5,O,O,X,O,X,O,X,O
주식회사 티벨,15,5,62.5,O,X,X,X,O,O,O,O
(주)국민은행,10 파일/API 금융,5,62.5,O,X,X,X,O,O,O,O
(주)아이디이노랩,8,5,62.5,O,O,X,X,O,O,X,O
아트앤데이터,10,5,62.5,O,O,O,X,X,O,O,X
